序號,章,節,概念,次概念,考法,題組,題組題幹,題組圖1,題組圖2,題幹,題幹圖1,題幹圖2,選項A,選項B,選項C,選項D,圖A,圖B,圖C,圖D,出處,答案
431,10生態,1族群與群集,族群群集,,,,,,,臺南七股的曾文溪河口是河流和海洋的交會處，河川中的有機物質會在此堆積，吸引許多節肢動物及鳥類在此聚集，黑面琵鷺及許多其他候鳥也在此渡冬。依據上述，下列敘述何者最適當？,,,每年到此渡冬的所有候鳥可稱為一個族群,在此棲息的所有生物族群可組成一群集(群落),在此棲息的黑面琵鷺和節肢動物可組成一個生態系,在此生態系中，節肢動物為生產者，鳥類為消費者,,,,,095基本學測二,B
558,09分類,4植物界,被子植物的特徵,,給特徵猜生物,g1103,,,,人厭槐葉蘋是一種水生的蕨類，原產於巴西南部。透過植物園、水族館或園藝市場等途徑，目前散布至世界各地的淡水區域中。人厭槐葉蘋主要以營養器官繁殖，繁殖速度甚快，鋪滿整個水面後，仍可不斷增生，而且越長越厚，使水面下的生物無法行光合作用，也阻絕空氣的交換，使水生動物因缺氧而大量死亡，引發食物鏈崩潰的連鎖效應，造成水生生態體系的毀滅。生物學家發現有一種昆蟲，專門啃食人厭槐葉蘋，便將它引進澳洲的某個湖泊展開試驗。幾個月後，人厭槐葉蘋大量消失，一年多後，昆蟲和植物間的數量終於達成共存的平衡狀態。有關人厭槐葉蘋的敘述，下列何者錯誤？,,,會產生種子,不會開花,具有維管束的構造,具有孢子囊的構造,,,,,095基本學測二,A
559,10生態,6生物多樣性,外來種,,,g1103,,,,人厭槐葉蘋是一種水生的蕨類，原產於巴西南部。透過植物園、水族館或園藝市場等途徑，目前散布至世界各地的淡水區域中。人厭槐葉蘋主要以營養器官繁殖，繁殖速度甚快，鋪滿整個水面後，仍可不斷增生，而且越長越厚，使水面下的生物無法行光合作用，也阻絕空氣的交換，使水生動物因缺氧而大量死亡，引發食物鏈崩潰的連鎖效應，造成水生生態體系的毀滅。生物學家發現有一種昆蟲，專門啃食人厭槐葉蘋，便將它引進澳洲的某個湖泊展開試驗。幾個月後，人厭槐葉蘋大量消失，一年多後，昆蟲和植物間的數量終於達成共存的平衡狀態。人厭槐葉蘋對許多生態系而言屬於外來種生物，下列何者不是此外來種成為生態殺手的主要原因？,,,人類的傳播,當地沒有天敵,可適應當地環境,繁殖速度比原生種慢,,,,,095基本學測二,D
16,01生命世界,2動植物細胞的比較,粒線體與葉綠體,,粒線體,,,,,小智想要研究動物細胞產生能量的方式。他應該從細胞中取出下列哪一種構造進行研究？,,,液胞,細胞膜,細胞核,粒線體,,,,,096基本學測一,D
48,02養分,2酵素,酵素的活性,,圖表判讀,,,,,下圖為甲、乙、丙、丁四種酵素的反應速率與溫度之關係。哪一種酵素的耐熱程度最低？,m0082,,甲,乙,丙,丁,,,,,096基本學測一,A
79,02養分,3光合作用,光合作用的過程,,,,,,,關於光合作用的敘述，下列何者正確？,,,光反應一定要有光才能進行,暗反應一定要在黑暗中進行,所釋放出的O來自於CO的分解,整個光合作用的過程中不需要吸收能量,,,,,096基本學測一,A
115,03運輸,2循環系統,血管,血管,,,,,,有關動脈與靜脈的比較，下列敘述何者正確？,,,動脈壁的厚度皆較小,動脈血的氧濃度皆較大,靜脈血的二氧化碳濃度皆較大,動脈血皆流離心臟，靜脈血皆流向心臟,,,,,096基本學測一,D
165,04協調,2內分泌系統,血糖調控,,,,,,,老王做體檢，他禁食8小時後抽血檢測血液中葡萄糖濃度，接著在飯後2小時，又做相同的檢測。這項檢測主要是瞭解下列何種激素的功能？,,,甲狀腺素,生長素,胰島素,腎上腺素,,,,,096基本學測一,C
169,04協調,1神經系統,神經傳遞路徑,,,,,,,下列有關人類反射作用的敘述何者正確？,,,反射作用通常涉及大腦意識,沒有動器也可以表現反射動作,眨眼是協調中樞在腦內的反射動作,反射動作的速度比有意識的動作慢,,,,,096基本學測一,C
213,05恆定,2氣體恆定,呼吸運動,呼吸運動的過程,,,,,,小哲喜歡吹奏薩克斯風。當他吹氣使該樂器發出聲音時，會發生下列哪一種情形？,,,空氣從外界流至胸腔,橫膈位置逐漸下降,肋骨位置逐漸上舉,胸腔體積逐漸變小,,,,,096基本學測一,D
248,06生殖,1細胞分裂與減數分裂,細胞分裂的子細胞都相同,,,,,,,大雄打籃球時不慎跌倒，手肘受傷。過一陣子，傷口邊緣增生新細胞，使傷口慢慢癒合。有關這類新增生的細胞，下列敘述何者正確？,,,新細胞具有雙套染色體,新細胞由減數分裂增生而來,新細胞內染色體與周圍細胞的染色體不同,新細胞內染色體數目比原來的細胞少一半,,,,,096基本學測一,A
250,06生殖,1細胞分裂與減數分裂,無性生殖和有性生殖的差異,,,,,,,在適合的環境下，下列哪一種生物的構造無法直接發育成新個體？,,,落地生根的葉,果蠅的卵細胞,酵母菌的芽體,黑黴菌的孢子,,,,,096基本學測一,B
304,07遺傳,1遺傳法則,計算與分析遺傳機率,,,,,,,已知捲舌、美人尖、拇指彎曲和酒窩皆為顯性性狀，小明記錄家人的性狀表現如下表所示，若下表有錯誤，則錯誤出現在哪一個性狀紀錄？,m0237,,捲舌,美人尖,拇指彎曲,酒窩,,,,,096基本學測一,D
346,09分類,4植物界,被子植物的特徵,,給特徵猜生物,,,,,下圖為一片天竺葵的葉子，根據該圖，下列敘述何者正確？,m0279,,天竺葵莖部的維管束呈散狀排列,天竺葵若開花，花瓣為3的倍數,天竺葵的葉脈中只包含木質部,天竺葵屬於雙子葉植物,,,,,096基本學測一,D
350,09分類,4植物界,植物的特徵,,多種生物的比較,,,,,依生物特徵將水稻、地錢、蕨類、松和杜鵑五種植物，分類如下表所示。若水稻屬於乙類，則乙類除了水稻以外，還應包括下列何者？,m0284,,地錢,蕨類,松,杜鵑,,,,,096基本學測一,D
430,10生態,2交互關係,判斷交互關係,,,,,,,白匏子樹的葉柄基部分可以分泌甜液吸引螞蟻，螞蟻為了吸食甜液便會努力守護白匏子樹，不讓其他昆蟲傷害它。下列何者為此二種生物的交互作用關係？,,,共生,寄生,捕食,競爭,,,,,096基本學測一,A
548,11其他,閱讀測驗,閱讀測驗,,,g1101,,,,蓋斑鬥魚常見於鄉間的稻田和池塘。雄魚體色鮮豔，在清明節前後，背、肢、尾鰭會延長至原來體長一倍左右，身上鱗片會散發紅、藍光澤，相當美麗。雌魚體色較暗，尾鰭較短，和雄魚相差甚多。繁殖期間雄魚會固守自家領域，驅逐其他雄魚，並且在水面上不斷地吐出氣泡築成泡泡巢。等受精完成後，雄魚會將魚卵啣至泡泡巢孵化。孵化期間雄魚還會負責守護魚卵的工作，驅趕想接近泡泡巢的雌魚，兔得被貪吃的雌魚把魚卵給吃了，所以幼魚的存活率約有五成，繁殖飼養均相當容易。蓋斑鬥魚的鰓上還有一種叫做「迷器」的呼吸輔助器官，因此當其他魚類必須靠近水面呼吸時，牠還能夠在氧氣濃度很低的水中生存。蓋斑鬥魚可在到的水溫中存活，喜歡吃昆蟲或孑孓。一尾體重約重的蓋斑鬥魚一天可吞食300隻孑孓或蛹，因此大量繁殖蓋斑鬥魚可有效防治病媒蚊。下列有關蓋斑鬥魚的推論，何者正確？,,,該魚可作為標示淡水水中含氧程度的指標,雌魚會守護魚卵，以完成種族延續的工作,每年秋冬水質較佳時，是該魚的繁殖季節,幼魚存活率非常低，近年來數量銳減許多,,,,,096基本學測一,A
549,10生態,1族群與群集,生態系的角色-從食物網判斷,,,g1101,,,,蓋斑鬥魚常見於鄉間的稻田和池塘。雄魚體色鮮豔，在清明節前後，背、肢、尾鰭會延長至原來體長一倍左右，身上鱗片會散發紅、藍光澤，相當美麗。雌魚體色較暗，尾鰭較短，和雄魚相差甚多。繁殖期間雄魚會固守自家領域，驅逐其他雄魚，並且在水面上不斷地吐出氣泡築成泡泡巢。等受精完成後，雄魚會將魚卵啣至泡泡巢孵化。孵化期間雄魚還會負責守護魚卵的工作，驅趕想接近泡泡巢的雌魚，兔得被貪吃的雌魚把魚卵給吃了，所以幼魚的存活率約有五成，繁殖飼養均相當容易。蓋斑鬥魚的鰓上還有一種叫做「迷器」的呼吸輔助器官，因此當其他魚類必須靠近水面呼吸時，牠還能夠在氧氣濃度很低的水中生存。蓋斑鬥魚可在到的水溫中存活，喜歡吃昆蟲或孑孓。一尾體重約重的蓋斑鬥魚一天可吞食300隻孑孓或蛹，因此大量繁殖蓋斑鬥魚可有效防治病媒蚊。蓋斑鬥魚在其食物鏈中的角色，較接近於下圖中哪一種生物？,m0303,,水牛,獅子,細菌,禿鷹,,,,,096基本學測一,B
8,01生命世界,4生物體的組成層次,組成層次的類型,,,,,,,下列哪一個生物構造的組成層次最低？,,,淋巴結,白血球,肋骨,血管,,,,,096基本學測二,B
73,02養分,4消化系統,消化系統綜合性問題,,,,,,,晶晶吃了一頓豐盛的晚餐，下列有關食物的消化與吸收何者正確？,,,胃最先將各類的食物進行初步分解,膽囊分泌膽汁分解脂質後由小腸絨毛吸收,吸收的血糖可經胰島素作用後儲存於肝臟,消化管各處皆有消化腺分泌消化液分解食物,,,,,096基本學測二,C
134,03運輸,1植物的運輸,蒸散作用,,,,,,,小佑以榕樹為研究對象，想證明「植物進行蒸散作用時，水經由氣孔離開植物體」。下列何者為最適當的處理方式？,,,將紅色氯化亞鈷試紙，以透明膠布固定於榕樹葉的上表皮，兩分鐘後觀察顏色變化,將藍色氯化亞鈷試紙，以透明膠布固定於榕樹葉的上表皮，兩分鐘後觀察顏色變化,將紅色氯化亞鈷試紙，以透明膠布固定於榕樹葉的下表皮，兩分鐘後觀察顏色變化,將藍色氯化亞鈷試紙，以透明膠布固定於榕樹葉的下表皮，兩分鐘後觀察顏色變化,,,,,096基本學測二,D
201,04協調,4植物感應,向性,判斷生長原因,,,,,,下列因素，何者會促使植物的莖表現出向性？,,,日夜溫度不同,季節間雨量不同,周圍的空氣溼度不同,周圍的光線強度不同,,,,,096基本學測二,D
262,01生命世界,4生物體的組成層次,器官層次-植物的器官,,,,,,,下列四個圖中何者包含該植物的生殖器官？,,,    ,,,,m0042,m0043,m0044,m0045,096基本學測二,D
263,06生殖,1細胞分裂與減數分裂,分裂時染色體變化,,,,,,,下圖(一)為女性的生殖系統，圖(二)為細胞分裂過程中染色體數量的變化圖。圖(一)中哪一部分能進行如圖(二)所示的細胞分裂方式？,m0213,,甲,乙,丙,丁,,,,,096基本學測二,B
291,07遺傳,4生物科技,生物複製,複製技術的過程,,,,,,據報導，第二匹複製馬是英國科學家從賽馬場中，選出常勝的冠軍馬所複製出來的。關於複製馬的敘述，下列何者錯誤？,,,這是一種生物技術的產物,和試管嬰兒一樣是體外受精,胚胎需在母馬的子宮內發育,毛色和冠軍馬的顏色相同,,,,,096基本學測二,B
297,06生殖,1細胞分裂與減數分裂,染色體的位置,,,,,,,生物技術中利用基因選殖的方式，將一段胰島素基因插入酵母菌內，透過酵母菌繁殖以大量生產人類胰島素，用來造福糖尿病患者。根據下圖的細胞模式圖，何處可取出製造胰島素的基因？,m0217,,甲,乙,丙,丁,,,,,096基本學測二,A
336,08演化,2化石,化石判斷地層,,,,,,,某科學家發現一種化石，經鑑定該化石已存在一億五千萬年之久。依下表所示，該化石形成的地質年代為何？,m0262,,新生代,中生代,古生代,原生代,,,,,096基本學測二,B
338,08演化,2化石,化石判斷地層,,,,,,,小潔參觀地質博物館，在展示的山壁上看到了礫岩層與煤層，也看到了各種珊瑚礁與三葉蟲化石的展出。下列是她的心得記錄，哪一項敘述最適當？,,,若有礫岩層，表示此處曾為深海沉積環境,若有煤層，表示此處曾為古海洋沉積環境,三葉蟲化石出現在古生代陸相的沉積環境,珊瑚主要的生長環境在熱帶溫暖的淺海海域,,,,,096基本學測二,D
349,09分類,4植物界,植物的特徵,蘚苔和蕨類的差異,多種生物的比較,,,,,小英從野外採集到一株植物，經觀察辨識後，發現這是一株蘚苔植物而非蕨類植物，則小英是藉由此植物的下列何種特徵才可以確認？,,,植株矮小,無維管束,以孢子繁殖,生長在陰溼環境,,,,,096基本學測二,B
379,10生態,2交互關係,判斷交互關係,,,,,,,如下圖所示，若甲生物單獨培養時，其數量變化曲線以實線表示；若加入乙生物，甲生物數量變化以虛線表示，則甲、乙兩生物間的互動關係，最不可能為下列何者？,m0313,,共生,競爭,寄生,捕食,,,,,096基本學測二,A
389,09分類,4植物界,被子植物的特徵,,給生物列特徵,,,,,開花植物可分為單子葉植物與雙子葉植物，兩者可由葉脈分布，莖內維管束排列方式以及子葉數目作區分。根據下圖，下列選項何者為單子葉植物的特徵？,m0281,,、2b、,、2b、3b,、、,1b、2b、3b,,,,,096基本學測二,A
535,06生殖,3動物有性生殖,動物如何進行生殖,,,g0704,,,,【根據下列所提供的資料回答問題。受精卵在埋入子宮壁一段時間後，子宮壁上形成胎盤和臍帶，母體透過胎盤和臍帶與胎兒相連。胎盤是胎生動物特有的構造，隔開母體與胎兒的血液循環，但可透過擴散的方式讓母體和胎兒進行物質與氣體的交換。母體動脈血液帶來充足的氧氣，經過胎盤藉由臍帶中的臍靜脈供給胎兒。胎兒體內產生的二氧化碳和代謝廢物，經過胎盤藉由母體的靜脈送回母體，利用母體的排泄系統將代謝廢物和二氧化碳排除。】下列動物何者具有胎盤？,,,企鵝,袋鼠,鴿子,莫氏樹蛙,,,,,096基本學測二,B
